,0
0,185182.19999999998
1,185185.98
2,185175.54
3,185178.8733333333
4,185179.28
5,185179.8866666667
6,185178.47333333336
7,185179.07333333333
8,185177.01333333334
9,185178.46666666665
10,185174.85333333336
11,185179.4
12,185182.01333333334
13,185177.96
14,185178.18000000002
15,185175.72
16,185185.7666666667
17,185180.88
18,185182.06666666665
19,185175.92
20,185177.80666666667
21,185178.55999999997
22,185177.17999999996
23,185174.42666666667
24,185173.54666666663
25,185174.0
26,185180.72
27,185174.55333333334
28,185177.81999999998
29,185182.04
30,185175.71333333335
31,185181.0
32,185177.5866666667
33,185174.74
34,185179.59333333335
35,185171.99333333332
36,185174.30000000002
37,185182.05333333332
38,185178.7333333333
39,185177.88
40,185176.59333333335
41,185182.16000000003
42,185175.7666666667
43,185181.58000000005
44,185177.36000000002
45,185177.82666666666
46,185178.69999999998
47,185176.54666666666
48,185180.18000000002
49,185176.33333333337
50,185176.66666666666
51,185178.53333333335
52,185175.33333333334
53,185177.56666666665
54,185174.58666666667
55,185182.02
56,185175.43333333335
57,185177.48
58,185180.1333333333
59,185184.08
60,185174.6933333334
61,185176.02000000002
62,185177.76
63,185177.59999999998
64,185173.63999999998
65,185172.82666666666
66,185177.52000000002
67,185172.09333333335
68,185174.88666666672
69,185182.04000000004
70,185171.48666666666
71,185176.49333333332
72,185177.18666666668
73,185176.3533333333
74,185183.19999999995
75,185184.44666666668
76,185182.66000000003
77,185175.75333333333
78,185175.53333333335
79,185173.37333333332
80,185180.52666666664
81,185179.89333333334
82,185176.20666666667
83,185179.23333333337
84,185178.33333333337
85,185177.97333333336
86,185177.33333333334
87,185178.60000000006
88,185184.82666666666
89,185179.54000000004
90,185179.44666666666
91,185182.54666666672
92,185181.28
93,185174.76
94,185176.93333333335
95,185174.0266666667
96,185180.41333333333
97,185180.57333333336
98,185180.46
99,185181.58
100,185173.65333333335
101,185176.09333333338
102,185185.2333333333
103,185175.1066666667
104,185174.93333333335
105,185178.7333333333
106,185180.2066666667
107,185175.50666666668
108,185175.32000000004
109,185179.31999999998
110,185174.5
111,185178.87333333332
112,185177.34
113,185179.9666666667
114,185175.8933333333
115,185177.50000000003
116,185187.29333333333
117,185174.43333333335
118,185176.55333333334
119,185181.92666666667
120,185182.86
121,185182.44000000003
122,185181.33333333334
123,185174.02666666673
124,185182.04666666666
125,185178.36000000002
126,185180.22666666668
127,185180.7066666667
128,185183.31333333335
129,185179.44000000003
130,185182.82666666666
131,185181.02000000002
132,185181.20666666667
133,185181.3466666667
134,185180.66666666672
135,185180.68666666668
136,185182.98
137,185181.41333333333
138,185182.80666666673
139,185176.46000000005
140,185178.94666666668
141,185178.33333333337
142,185182.16666666672
143,185177.05333333334
144,185178.46666666667
145,185175.52
146,185180.92666666667
147,185176.96000000005
148,185180.2066666667
149,185183.48
150,185179.08666666667
151,185179.81333333338
152,185181.56000000006
153,185174.30666666667
154,185179.30000000005
155,185173.76
156,185177.3466666667
157,185179.56000000003
158,185178.74000000002
159,185176.54666666672
160,185177.30666666673
161,185177.26000000004
162,185184.04666666666
163,185182.16000000003
164,185177.33333333334
165,185179.22666666668
166,185174.85333333336
167,185184.1066666667
168,185173.8333333334
169,185175.74000000002
170,185174.93333333335
171,185171.82666666666
172,185176.78000000003
173,185178.6066666667
174,185181.18666666668
175,185179.54
176,185176.7066666667
177,185181.71333333338
178,185180.24000000002
179,185181.37333333332
180,185178.31333333335
181,185179.12
182,185176.0266666667
183,185179.78666666665
184,185177.80000000002
185,185176.7066666667
186,185181.83333333334
187,185177.64666666673
188,185180.42666666667
189,185178.88000000003
190,185178.8933333333
191,185179.93333333335
192,185178.72000000006
193,185179.1066666667
194,185179.56000000003
195,185178.92
196,185181.3666666667
197,185182.37333333338
198,185175.36000000002
199,185181.64
200,185179.8666666666
201,185177.2666666667
202,185180.42666666664
203,185179.00666666668
204,185180.07333333336
205,185180.16
206,185178.8933333333
207,185176.66666666666
208,185180.1066666667
209,185179.8933333333
210,185181.26666666663
211,185180.21333333335
212,185179.95333333334
213,185179.29333333336
214,185182.44666666668
215,185180.54000000004
216,185174.70666666667
217,185177.56000000003
218,185179.50666666668
219,185177.8266666667
220,185182.66666666666
221,185176.93333333335
222,185181.28000000003
223,185178.6066666667
224,185177.37333333332
225,185182.56000000003
226,185182.23333333337
227,185180.08
228,185178.93333333335
229,185180.70666666667
230,185179.64000000004
231,185180.40666666665
232,185178.69999999998
233,185178.70666666667
234,185179.78666666665
235,185183.26000000004
236,185179.64000000004
237,185179.2666666667
238,185178.97333333336
239,185181.29333333333
240,185179.12
241,185180.11999999997
242,185179.06666666668
243,185176.90666666665
244,185180.44000000003
245,185178.29333333336
246,185178.02000000005
247,185179.50666666668
248,185179.40000000002
249,185180.65333333335
250,185177.8666666667
251,185179.52000000002
252,185181.96000000005
253,185183.4666666667
254,185176.91333333336
255,185180.17333333334
256,185182.00666666668
257,185184.0133333333
258,185182.91333333333
259,185178.80000000002
260,185182.52000000002
261,185177.52000000002
262,185180.44000000003
263,185179.04666666672
264,185180.65333333332
265,185180.25333333338
266,185180.2066666667
267,185180.19999999998
268,185183.65333333335
269,185184.08666666667
270,185179.77333333335
271,185178.21333333338
272,185178.4866666667
273,185182.97333333336
274,185181.85333333336
275,185182.56000000003
276,185178.19999999998
277,185180.06666666662
278,185180.50666666668
279,185181.16000000003
280,185180.21333333335
281,185179.06666666668
282,185179.41333333336
283,185177.18666666668
284,185182.33333333334
285,185177.24000000002
286,185177.22666666668
287,185178.1066666667
288,185177.64000000004
289,185180.52000000002
290,185178.21333333335
291,185177.68000000002
292,185182.98
293,185180.74666666673
294,185177.04000000004
295,185182.1333333333
296,185181.70666666667
297,185185.7333333333
298,185182.06666666665
299,185178.40000000002
300,185178.84
301,185178.81333333335
302,185179.37333333332
303,185178.28000000003
304,185178.46666666665
305,185180.44000000003
306,185181.66666666666
307,185180.17333333334
308,185181.71333333335
309,185180.19999999998
310,185181.91333333333
311,185180.5
312,185183.84
313,185177.69333333333
314,185181.17333333334
315,185180.70666666667
316,185179.50666666668
317,185178.80000000002
318,185178.57333333333
319,185180.55333333332
320,185179.10666666666
321,185179.37333333332
322,185181.8666666667
323,185179.24
324,185178.74666666667
325,185181.66666666672
326,185180.81333333335
327,185179.24
328,185178.53333333335
329,185180.65333333332
330,185181.30666666664
331,185180.4
332,185177.0733333334
333,185177.3533333334
334,185180.16
335,185180.30000000002
336,185181.1466666667
337,185181.5733333334
338,185177.81333333335
339,185182.19999999998
340,185181.4666666667
341,185180.3466666667
342,185182.16666666666
343,185179.68000000002
344,185179.41333333333
345,185179.81333333335
346,185182.7866666667
347,185181.72000000006
348,185181.75333333333
349,185180.52000000002
350,185181.61333333337
351,185181.81333333332
352,185180.58000000005
353,185179.92
354,185183.24000000002
355,185180.29333333336
356,185181.4666666667
357,185181.54666666672
358,185181.85333333336
359,185180.74666666667
360,185181.54666666672
361,185178.48
362,185178.69333333336
363,185182.82666666666
364,185179.42666666667
365,185178.44000000003
366,185180.7066666667
367,185179.80000000005
368,185181.76
369,185179.58666666667
370,185180.8666666667
371,185180.7333333333
372,185179.81333333332
373,185179.81333333335
374,185178.6133333333
375,185179.41333333333
376,185179.49333333332
377,185180.33333333334
378,185179.32000000004
379,185180.58000000005
380,185178.7866666667
381,185178.44000000003
382,185182.1333333334
383,185179.73333333337
384,185179.28000000003
385,185181.09333333335
386,185181.45333333337
387,185179.37333333332
388,185177.76
389,185179.2666666667
390,185178.30666666664
391,185177.96
392,185180.34666666668
393,185175.84
394,185179.10666666666
395,185179.16
396,185177.46666666667
397,185179.37333333338
398,185180.22666666668
399,185178.18666666668
400,185180.22666666668
401,185180.22666666665
402,185177.92
403,185180.85333333336
404,185181.10666666666
405,185180.22666666665
406,185177.01333333334
407,185179.92
408,185178.66666666666
409,185179.46666666665
410,185178.98666666666
411,185179.92
412,185180.18666666668
413,185179.3866666667
414,185180.88
415,185179.86666666667
416,185180.17333333334
417,185179.71999999997
418,185180.72000000006
419,185179.65333333332
420,185180.0
421,185179.80000000005
422,185177.81999999998
423,185175.3866666667
424,185180.36000000002
425,185179.16
426,185177.95333333337
427,185173.0
428,185177.12000000002
429,185178.01333333334
430,185178.1466666667
431,185178.14666666664
432,185178.32000000004
433,185177.2666666667
434,185179.33333333337
435,185181.56000000003
436,185176.68000000002
437,185179.46000000005
438,185177.88000000003
439,185178.1466666667
440,185177.33333333337
441,185181.56000000003
442,185179.29333333336
443,185178.72
444,185177.84
445,185176.94666666668
446,185177.88000000003
447,185180.09333333335
448,185176.66666666666
449,185178.28000000003
450,185178.1466666667
451,185178.1466666667
452,185178.1466666667
453,185178.54666666666
454,185178.1466666667
455,185180.09333333335
456,185178.1466666667
457,185181.4666666667
458,185179.22666666668
459,185178.01333333334
460,185178.41333333333
461,185180.04000000004
462,185176.85333333336
463,185179.92
464,185178.41333333333
465,185177.88
466,185179.0266666667
467,185178.0133333333
468,185178.28
469,185178.45333333334
470,185178.28
471,185179.84
472,185180.87999999998
473,185180.74
474,185181.69333333336
475,185177.48
476,185178.14666666664
477,185179.7066666667
478,185181.8666666667
479,185180.49333333332
480,185176.94666666668
481,185178.41333333333
482,185178.28
483,185177.82666666666
484,185178.88666666663
485,185178.28
486,185178.41333333336
487,185178.01333333334
488,185179.33333333334
489,185177.6133333333
490,185178.28
491,185182.11999999997
492,185178.55999999997
493,185178.28
494,185178.17333333334
495,185178.58666666667
496,185176.72
497,185178.28
498,185177.16
499,185179.24
