,0
0,185131.40981789376
1,185136.29998492132
2,185114.22475675712
3,185123.0209920814
4,185126.30245885532
5,185117.1871828652
6,185127.29924220173
7,185131.9090465682
8,185120.56757073008
9,185132.66783431495
10,185131.15846182822
11,185129.9643493139
12,185136.2804276469
13,185125.96239963666
14,185119.14580477134
15,185128.12022225172
16,185131.09774985557
17,185126.87299459436
18,185127.1407729818
19,185134.63376489782
20,185131.5882738798
21,185128.32692309286
22,185133.56090986542
23,185122.5802747082
24,185128.16483571767
25,185132.06625926823
26,185127.30041297653
27,185135.33284718753
28,185128.61807970717
29,185131.00767172663
30,185123.36232027816
31,185126.19087121557
32,185123.92820010232
33,185132.78272619486
34,185131.96236536014
35,185130.01368935654
36,185137.71834743128
37,185135.22906300167
38,185122.07662798814
39,185122.10183291972
40,185129.74676502644
41,185132.09562874158
42,185133.6996106773
43,185134.74808914217
44,185117.38901048503
45,185127.45401165655
46,185126.10798427745
47,185127.0751312312
48,185128.63641294127
49,185132.5236259901
50,185131.3017185471
51,185118.08128717952
52,185136.9849846783
53,185135.96071080698
54,185137.3525322442
55,185134.6860067635
56,185133.55685263962
57,185139.8785180174
58,185129.36856024456
59,185142.11599784275
60,185129.0773962722
61,185125.78705010307
62,185140.92732674177
63,185135.62296782175
64,185136.7832411036
65,185117.82533416757
66,185133.5104385482
67,185132.80788115517
68,185148.09686534712
69,185123.35271200488
70,185133.80988114447
71,185135.59036588555
72,185124.33902867106
73,185129.88984331815
74,185135.59912685657
75,185132.6692982888
76,185128.69305482777
77,185135.7136248413
78,185127.78538915157
79,185124.4245158983
80,185123.9169117223
81,185133.72648714922
82,185128.43479462
83,185133.39343301908
84,185131.19337001155
85,185120.58241085443
86,185138.2784067203
87,185140.92260752257
88,185130.44759051097
89,185139.05324768004
90,185127.44071238374
91,185131.62032038532
92,185130.83574277547
93,185143.088084056
94,185123.99203268797
95,185124.80836077407
96,185129.29022786595
97,185141.84502522027
98,185137.19095573688
99,185138.20810866728
100,185142.40535439656
101,185141.8508312942
102,185134.2102732594
103,185137.33758261174
104,185133.9693487559
105,185136.66830698287
106,185140.2803506304
107,185146.36121235497
108,185136.60527845053
109,185142.24686317015
110,185142.92110499283
111,185135.3873195819
112,185143.7828894048
113,185134.95204423674
